filename,category,CWNS_ID,ll_uuid,n_boxes
037f2a67-55002850001_470e941c-6220-4590-a16d-36b4f8a1017a_r01_c02_rgb.txt,legacy_mangled,55002850001,470e941c-6220-4590-a16d-36b4f8a1017a,2
0684b413-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r02_c01_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,3
20f66147__Users%5CAMURRA02%5Cpng%5C13000000717_f4dc400d-efcb-4dcd-a487-47c1bbfc48df_r02_c02_rgb.txt,legacy_mangled,13000000717,f4dc400d-efcb-4dcd-a487-47c1bbfc48df,2
22d74314__Users%5CAMURRA02%5Cpng%5C12000128001_614801ea-69ab-4b98-b80f-ac5b28b9b76c_r04_c01_rgb.txt,legacy_mangled,12000128001,614801ea-69ab-4b98-b80f-ac5b28b9b76c,7
2df5f07c-55003415001_6f5c4493-c8dc-4e30-a739-1d63dbd5e11f_r01_c02_rgb.txt,legacy_mangled,55003415001,6f5c4493-c8dc-4e30-a739-1d63dbd5e11f,0
31818377__Users%5CAMURRA02%5Cpng%5C13000000717_f4dc400d-efcb-4dcd-a487-47c1bbfc48df_r02_c01_rgb.txt,legacy_mangled,13000000717,f4dc400d-efcb-4dcd-a487-47c1bbfc48df,1
4f9a87ee__Users%5CAMURRA02%5Cpng%5C12000128001_614801ea-69ab-4b98-b80f-ac5b28b9b76c_r03_c01_rgb.txt,legacy_mangled,12000128001,614801ea-69ab-4b98-b80f-ac5b28b9b76c,1
5a09f677-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r01_c01_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,2
5fb47945-55003415001_6f5c4493-c8dc-4e30-a739-1d63dbd5e11f_r01_c01_rgb.txt,legacy_mangled,55003415001,6f5c4493-c8dc-4e30-a739-1d63dbd5e11f,0
9dcfe09f-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r02_c03_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,5
b8991aaa__Users%5CAMURRA02%5Cpng%5C12000128001_614801ea-69ab-4b98-b80f-ac5b28b9b76c_r05_c01_rgb.txt,legacy_mangled,12000128001,614801ea-69ab-4b98-b80f-ac5b28b9b76c,8
cc459947-55002850001_470e941c-6220-4590-a16d-36b4f8a1017a_r01_c01_rgb.txt,legacy_mangled,55002850001,470e941c-6220-4590-a16d-36b4f8a1017a,0
cf9a648d-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r01_c02_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,6
d8828965__Users%5CAMURRA02%5Cpng%5C20000704001_0219122a-b93f-4383-bb45-9b7ff833a432_r01_c01_rgb.txt,legacy_mangled,20000704001,0219122a-b93f-4383-bb45-9b7ff833a432,3
d9370e2e-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r02_c02_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,7
f90c6691-55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r01_c03_rgb.txt,legacy_mangled,55003620001,39b6459f-0dae-442e-bf38-7c2685c27358,3
